Area (cm2),PCE (%),Stability,Solvent1,Solvent2,Solvent3,Solvent4,ratio1,ratio2,ratio3,ratio4
0.09,15.1,,GBL,EtOH,AcOH,,0.6,0.2,0.2,0.0
0.16,19.5,,DMSO,,,,1.0,0.0,0.0,0.0
0.16,18.3,,DMF,GBL,,,0.8,0.2,0.0,0.0
1.022,18.5,90% 1000 h,DMSO,,,,1.0,0.0,0.0,0.0
0.16,15.2,,NMP,,,,1.0,0.0,0.0,0.0
0.0725,16.06,92.8% 150 h,DMF,H2O,,,0.0,1.0,0.0,0.0
0.16,16.2,,DMF,,,,1.0,0.0,0.0,0.0
0.13,6.16,,DMF,GBL,,,0.96996996996997,0.03003003003003,0.0,0.0
0.0464,11.8,,DMF,,,,1.0,0.0,0.0,0.0
0.15,16.72,,DMSO,GBL,,,0.3,0.7,0.0,0.0
0.1,17.1,,DMF,,,,1.0,0.0,0.0,0.0
1.1666666666666667,17.206666666666667,,2-methoxyethanol,,,,1.0,0.0,0.0,0.0
0.16,20.83,,2-methoxyethanol,DMSO,,,0.9916666666666668,0.0083333333333333,0.0,0.0
0.16,20.26,,2-methoxyethanol,DMSO,,,0.9836065573770492,0.0163934426229508,0.0,0.0
0.0464,10.81,,Cyclohexyl-2-pyrrolidone,DMF,,,0.0476190476190476,0.9523809523809524,0.0,0.0
0.1,16.27,,Cyclohexyl-2-pyrrolidone,DMF,,,0.07,0.93,0.0,0.0
0.2186168377823408,14.79768172888016,,DMF,,,,1.0,0.0,0.0,0.0
0.09,10.8,,DMF,,,,1.0,0.0,0.0,0.0
,11.3,,DMF,,,,1.0,0.0,0.0,0.0
0.075,19.0,,DMF,,,,1.0,0.0,0.0,0.0
0.1,15.425555555555556,,DMF,,,,1.0,0.0,0.0,0.0
0.1,15.9,,DMF,,,,1.0,0.0,0.0,0.0
0.1935294117647059,16.942941176470587,,DMF,,,,1.0,0.0,0.0,0.0
0.075,19.4925,,DMF,,,,1.0,0.0,0.0,0.0
